"7b7d0bf2-6e97-496e-905e-32af42834591","Fruit and Vegetable Processing",0.3,"Non-Hazardous","Other"
"34986230-2bfb-4fe2-84a3-daf6b2817d86","MANUFACTURING",10,"Non-Hazardous","Other"
"fd6aa8c0-97ec-4960-90e6-75d51521c968","Polish Process",0.1,"Non-Hazardous","Sold to Registered Recycler"
"4e29132f-d6e9-4e22-b3a6-38f86c6888df","ETP",1000,"Non-Hazardous","Other"
"724bcef2-3fbd-458b-9b33-c13b4c08ea0f","MANUFACTURING",0.2,"Non-Hazardous","Sold to Registered Recycler"
"b1b858bf-cce4-4eb7-979c-f02d0891ff1f","SCHOOL CONSTRUCTION",0,"Non-Hazardous","Other"
"f89423ba-4561-4876-8d91-a7babbb0d906","Manufacturing",0,"Non-Hazardous","Other"
"2916ed67-9644-456f-85b8-4bec5686b62b","Not applicable",0,"Non-Hazardous","Other"
"96f5217c-ac1c-4542-8706-c01471940765","RUBBER GRINDING WASTE",0.05,"Non-Hazardous","Sold to Registered Recycler"
"3e65f207-90a3-4e1e-ab4a-de3fb0f85697","other",0,"Non-Hazardous","Other"
"2b8db3b3-5f3f-4e97-9b0b-029dc0463861","not applicable",1,"Non-Hazardous","On To Land for filling"
"22a196ad-8f11-4c7d-8c1a-5af9abb1b75e","Cotton Fabric Polyester",13,"Non-Hazardous","Sold to Registered Recycler"
"1df9901b-95f6-4128-9879-03ea5b76a107","etp sludge",1,"Non-Hazardous","Other"
"36893bfa-fe63-4ca3-a452-dbdc0290e6bf","Admin, Canteen, Domestic",0,"Non-Hazardous","Sold to Registered Recycler"
"9181f96f-343d-4a2c-96d4-83a60ac19a60","N/a",0,"Non-Hazardous","Other"
"23dc7807-4350-4858-8798-6a84a2c22221","Solid Waste",5,"Non-Hazardous","Sold to Registered Recycler"
"b4e7d3c2-fee6-4952-9dbf-8b4427999ff0","N/A",0,"Non-Hazardous","Other"
"a86a4d59-715f-46e8-826e-72f6d0ec1a3b","Processing Waste Paper",0.3,"Non-Hazardous","Other"
"8665a2e9-fa2f-4568-aeff-c589b3a068a6","Production",0.1,"Non-Hazardous","Sold to Registered Recycler"
"3e62362c-9e69-4c4f-947e-ca3079e6773a","Production",0.1,"Non-Hazardous","Sold to Registered Recycler"
"03cb228d-2e93-48a6-b679-d2b4b1aa5bf0","No waste",0,"Non-Hazardous","Other"
"40b9285c-0b0f-4174-a57d-21fa43ae4f72","BOILER",1,"Hazardous","Sold to Registered Recycler"
"1b3e6e7d-9c54-4f7e-b301-41eca8c68a2c","Filter bags, Cartons and other domestic waste",0.02,"Hazardous","Other"
"3bb2d4a2-7aca-4dca-8fa3-9315fcbeee4e","Used Carbon Black, hyflo and Process Waste",0.05,"Hazardous","On To Land for filling"
"2d067a85-b326-402d-a371-abc22845617f","Textile",1000,"Hazardous","Other"
"5890a725-a9ed-4cad-a6b0-766b94945b5f","NIL",0,"Non-Hazardous","Other"
"3fb5ecdb-360f-41f9-bc0b-554b60631526","Not applicable on this plant",0,"Non-Hazardous","Other"
"8bedd103-74ff-4500-ad3d-7bad333fa49e","STP SLUDGE",0.5,"Non-Hazardous","Sold to Registered Recycler"
"921b6559-d467-4f60-870d-7609ca5acac1","CASTING",0.5,"Non-Hazardous","Sold to Registered Recycler"
"afebb8fc-b31f-4084-81db-99afa68739c9","Not Applicable",0,"Non-Hazardous","Other"
"ac6bfeee-18ff-4dd3-a6b6-922f98bff8b7","gqhwgh",123,"Non-Hazardous","Sold to Registered Recycler"
"7a0d3c95-c832-4af7-a027-e03879e83e11","Nil",0,"Non-Hazardous","Other"
"bf264ca2-5d83-48fb-ab13-d2463e001294","N.A",0,"Non-Hazardous","Other"
"51c56437-a5b6-4a37-b5d1-5ecc69647e8a","Nil",0,"Non-Hazardous","Other"
