"82bd9b03-4890-4e21-952f-a1f27f49fd4f",,,0,0,"None of these",,"Expansion Project","Other Industries","Large - more than 10 crores",,,"Healthcare"
"003710b8-5a18-4f5a-8e39-2689beed7ce9",,2930,0,0,"Highly Technical",,"New Project (New Site)","Auto, Auto Components and Light Engineering","Large - more than 10 crores",,,
"74d0023a-c0fe-44fb-a99d-c833538e2ec1","Solar Power generation",351351000000,0,0,"None of these",,"New Project (New Site)","Renewable Energy & Solar Parks","Large - more than 10 crores",,,
"aa3d8c8e-8452-466a-93e1-8a5e4b33adf3",,,0,0,"Highly Technical",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"HVAC"
"9316e4cb-256e-45d6-b29c-94e72c6de02d","Manufacturing unit, Extrusion plant,",,0,0,"Highly Technical",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"Manufacturing unit, Extrusion plant,"
"1f40aa27-7816-4352-90e9-79c7797a6529",,,0,0,"None of these",,"New Project (New Site)","Agro-based, Food Processing and Allied Industry","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"d33b5590-2978-49d2-9eb7-e8e609fb0814",,,0,0,"Highly Technical",,"Expansion Project","Auto, Auto Components and Light Engineering","Micro - upto 25 lakhs",,,
"4a8972f7-8b12-4eea-8ba2-4372610a1665","Manufacturing",17,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"fad65089-10a9-4b6d-ad1f-f3aef457ed92",,,0,0,"Highly Technical",,"New Project (New Site)","Auto, Auto Components and Light Engineering","Micro - upto 25 lakhs",,,
"5b55c896-9856-4f7c-a5e5-a7e8331148e8",,,0,0,"None of these",,"New Project (Existing Site)","Electronics & IT/ITES","Small - more than 25 lakhs and less �than or upto 5 crores",,,"MANUFACTURER OF ELECTRICAL PANELS"
"c0883db4-877b-4df8-b809-24363d4c7967",,,1,1,"None of these",,"New Project (Existing Site)","Other Industries","Large - more than 10 crores",,,"real estate contruction"
"fe026bd9-0db6-42d6-b87e-7fc9d26ff03a",,,0,0,"None of these",,"Expansion Project","Auto, Auto Components and Light Engineering","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"1562908a-7ddb-4d71-9316-6964326b82bb","HEALTH AND SPORTS CLUB",,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"SERVICE SECTOR"
"065b2042-9fe4-4004-a9a8-c15183770955",,,0,0,"Highly Technical",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"6f0c4f27-4f59-4383-a96e-d65033387502","Research and Development cum Application Center",72100,1,0,"Export Oriented","Netherlands","New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Research and Development"
