"0abc0988-2888-4181-96af-402730076f4a",0,0,0,0,0,0,0,0,"Muncipal Water Supply","Other",0,0,0,0,,,,"(to be declared)"
"ecc66538-1142-4ac1-b52d-f32bdffa3c2d",0,50,27,0,0,15,15,0,"Muncipal Water Supply","Sewer",0,0,0,0,,,,
"2441f2fe-9398-4521-b2c8-752fd27d09e9",0,0,6000,100,0,0,0,100,"Tubewell","Sewer",0,0,0,0,,,,
"46f5f83a-51b7-4f91-a725-b0d7c3f9312e",800,0,0,0,800,0,0,0,"Canal Water","Other",0,0,0,0,,,,"fertiliser"
"85e2ca56-15b1-424b-bc7c-4eeb03cf997d",5000,1000,200,0,4000,0,0,0,"Tubewell","Sewer",0,0,0,0,,,,
"bae0956d-b258-4b61-a5a0-f3db58058387",1,0,0,0,0.1,0,0,0,"Muncipal Water Supply","Sewer",0,0,0,0,,,,
"bb8fb56f-ffce-49bb-8ab6-503478414bff",100,100,100,100,100,100,100,100,"Other","Other",0,0,0,0,,,"Not applicable","Not applicable"
"03761f5f-f592-4066-83be-08ad48149fba",0.01,0.01,0.01,0,0.002,0.002,0.002,0.002,"Muncipal Water Supply","Sewer",0,0,0,0,,,,
"d490326b-b6ed-452f-bb26-575ae8ef9c54",1,11,1,1,1,1,1,1,"Tubewell","Onto Land for Irrigation/plantation",0,0,0,0,,,,
"24097868-cafd-46f4-b9b4-15037272b6a0",10,8,2,0,2,1.5,0.5,0,"Tubewell","Other",0,0,0,0,,,,"OTHER"
"a86b8b8c-1e3e-47e8-913e-afe2ef37b40f",0,0,0,0.1,0,0,0,0,"Tubewell","Other",0,0,0,0,,,,"no waste"
"6e3d61d7-8976-452b-99ef-fd12e3c7048d",0,0,1,0,0,0,0,0,"Tubewell","Other",0,0,0,0,,,,"Zero Liquid Discharge"
"0fab76ba-2f3a-4ae8-8ffe-d2943aa29092",1,1,0,0,0,0,0,0,"Muncipal Water Supply","Other",0,0,0,0,,,,"NOT APPLICABLE"
