"9fe2223f-5781-49e7-b311-a83ddc74730c",0.19,2.9,15,4.73,18.09,0,,,,"Not Applicable",60
"1ed389fc-135b-4ee1-bcad-18220befaa6a",0,0,33.2,0,33.2,0,,,,"Not Applicable",100
"68df20f9-c224-4c79-b6c9-939dccd174f5",20,350,630,0,1000,0,,,,"Not Applicable",20000
"1567ee9c-d88c-4845-8388-d51bb31c1ddf",0.62,0.18,0.47,0,1.27,0,,,,"Not Applicable",12
"2af12a8a-7f6a-4404-b91b-3a5a758fef1a",0.6,0.04,0.04,0.02,0.68,0,,,,"Not Applicable",5
"f94f4e90-67f1-4132-b716-5faeb968f696",0,1.04,3.45,0,4.49,0,,,,"Not Applicable",9
"16fd5566-8912-492f-9bc4-83b4410428ac",75,19,24,7,118,0,,,,"Not Applicable",1800
"96bb2dbc-d259-41fa-9d0a-36c6af1736b5",17.5,50,215.5,0,283,0,,,,"Not Applicable",2000
"36db95bf-d9a3-4589-8af5-1f1c8c3e7e45",23,14,16.5,36,53.5,0,,,,"Not Applicable",36
"b72dd9d6-8ed5-4d61-8b6c-c743a0ebcc2d",4.25,2,19,1.15,25.25,0,,,,"Not Applicable",35
"87f64d33-efc9-401e-bd45-df3a89553c32",0.5,0.5,2,0.25,3,0,,,,"Not Applicable",25
"ea0ece40-1886-4b2f-90e7-8119657ca17a",0.55,1.25,6.5,0.2,8.3,0,,,,"Not Applicable",75
"99da87f5-eefe-475f-9462-bf0a6f8a19cf",2.2,1.1,1.5,0.15,4.8,0,,,,"Not Applicable",47
"7bee4ffc-5113-42f0-879b-c6126120d9b7",46.4,96.75,0,0,143.15,0,,,,"Not Applicable",1000
"327bbb6a-df88-49a2-974c-5ad35aad8f8c",2.5,1,1.35,0.1,4.85,0,,,,"Not Applicable",47
"da226f2c-9537-4fde-875c-c21450e6ae63",0.6,0.4,0.1,0.12,1.1,0,,,,"Not Applicable",22
"504943e3-4309-433d-8323-c0fb46413a59",0,150000,1582000,738000,1732000,0,,,,"Not Applicable",24
