"b6e321ab-9684-4cc0-9b30-c3b59def9de8",0,"DG Set","Other - 000","Bag Filters"
"3c40aabf-5306-409f-a3b3-d288c24964c0",500,"DG Set","HSD","Adequate Stack Height Only"
"e0b109e2-d85a-40d8-ba10-2d3a1bc2b21e",9,"Boiler","Other - WASTE WOOD","Multi-Cyclone Separator"
"128545f9-9461-439f-b999-5bb6cf0907f6",0,"Not Applicable","NA","NA"
"b6bb7bcd-a133-400a-bdeb-5fca8f7396f5",0,"Not Applicable","NA","NA"
"93c065e5-c75d-450d-985e-ff9b87e34969",0,"DG Set","Other - 0000","Bag Filters"
"63b06d9e-729e-4649-97a6-1a78c5d785ef",250,"DG Set","HSD","Multi-Cyclone Separator"
"124124b3-88ef-4917-a7d4-85bf947e70f5",250,"DG Set","HSD","Bag Filters"
"e2cde1a0-1b29-41e5-ab1f-8e4a94ae306f",0,"Not Applicable","NA","NA"
"f8ba1643-5746-40a6-a993-19f5d7a9c1c2",0,"Not Applicable","NA","NA"
"8bbab9d4-a780-45d5-9b2c-12d689080b7b",0,"Not Applicable","NA","NA"
"f9d56feb-f21a-4e41-9b9e-d066ccebb7cb",0,"Not Applicable","NA","NA"
"f191fa85-6664-40f3-881a-4d6fef0cd883",200,"Boiler","Other - Agro Based","Gravity Dust Settling Chamber"
"b6c5a94e-2f45-4fea-a506-de9aeb2b867e",4.8,"DG Set","Furence Oil","Adequate Stack Height Only"
"caf30fd9-7966-4958-ade0-657e519f22d5",0,"Not Applicable","NA","NA"
"8570492c-a51d-4247-b981-2b130874a56d",0,"Not Applicable","NA","NA"
"679a1863-042f-43e4-a418-79a0edb93bfa",65,"DG Set","HSD","Adequate Stack Height Only"
"592a68fa-e722-4af8-9c99-d44b6b5475e2",5,"Boiler","Other - wood","Multi-Cyclone Separator"
"0caf70d3-7595-40ef-b70e-74187c9a4ead",40,"DG Set","Electricity","Adequate Stack Height Only"
"02f9d9ef-4dcf-4cd6-a54b-b108b109337e",0,"Not Applicable","NA","NA"
"a4136cad-f74c-42f6-aa26-a240948c0dfc",75,"DG Set","HSD","Adequate Stack Height Only"
"3e6aed3c-f571-4469-887a-fa41eb729305",0,"Not Applicable","NA","NA"
"6dac8a6d-074a-40e2-b37a-7b939988fbd2",0,"Not Applicable","NA","NA"
"45095c00-158c-481b-8688-4c9dc99b16a7",1500,"DG Set","HSD","Scrubber"
"1e85c133-8e42-4fb3-87a0-dfb9edae8b3e",0,"Not Applicable","NA","NA"
