"4E157C18-C806-4997-8AAB-13E7079C7C7A",0,0,0,0,0,0,0,,0,1,"I161-0026-W",50,50,0,0,"01-01-1900","Non-Domestic","18-07-2016","18-07-2016"
"462B16B6-3436-48DD-B949-EC4F78A46770",1,1,"F35BTCS0141",4,4,350,350,"31-03-2017",0,0,0,0,0,0,0,"31-03-2017",0,"18-07-2016","18-07-2016"
"655808DC-9E71-46D2-B252-C0C6D8D36B5B",1,0,0,0,0,200,200,"18-07-2016",1,0,0,0,0,200,200,"18-07-2016","Non-Domestic","18-07-2016","18-07-2016"
"801CC29B-1929-4B1B-A691-3D3685205FC0",1,0,0,0,0,48,50,"01-09-2016",1,0,0,0,0,48,50,"01-09-2016","HT Industrial","18-07-2016","18-07-2016"
"50A32F29-5299-456B-A5DA-D12AD0D492F4",1,1,0,33,30,0,0,"01-12-2016",0,0,0,0,0,0,0,"01-01-1900",0,"19-07-2016","19-07-2016"
"3A3C3A8B-B115-46AA-923D-20391DAF9A55",0,0,0,0,0,0,0,,1,0,0,0,0,500,500,"23-03-2017","HT Industrial","19-07-2016","19-07-2016"
"6D528D74-DE82-4197-86B2-BB358A8399BC",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"19-07-2016","19-07-2016"
"3DA0F319-2AC0-4F7D-A421-3EE03BF9D796",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"19-07-2016","19-07-2016"
"1699BB69-FFA0-4B4F-BDEE-AB686C50E34A",0,0,0,0,0,0,0,,1,1,6723001000,0,0,0,0,"01-02-2017","LT Industrial ","20-07-2016","20-07-2016"
"399567BE-9CEA-4F7C-BA31-F8BCB5B33A01",0,0,0,0,0,0,0,"01-09-2016",1,0,0,0,0,70,77,"01-09-2016","LT Industrial ","20-07-2016","30-08-2016"
"B4418FAA-B311-4FF6-B90C-B14AC7AAC793",1,0,0,0,0,200,200,"20-08-2016",1,0,0,0,0,200,200,"20-08-2016","HT Industrial","20-07-2016","20-07-2016"
"9F4499A8-4927-43B3-A21E-ADC0154D23DD",1,0,0,0,0,6,7,"01-12-2016",1,0,0,0,0,50,54,"01-12-2017","HT Industrial","20-07-2016","20-07-2016"
"FC522776-A79E-4186-A459-AC4659A28D97",0,0,0,0,0,0,0,,1,0,0,0,0,2070,2300,"31-12-2016","HT Industrial","20-07-2016","20-07-2016"
"D844334A-CF6C-4EA4-9A1C-8B341C92D272",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"21-07-2016","21-07-2016"
"B1F34254-C685-4016-9589-404079ADCA1A",1,0,0,0,0,50,50,"01-01-2017",1,0,0,0,0,220,220,"01-01-2018","LT Industrial ","21-07-2016","21-07-2016"
"F50D4794-219E-43BC-936D-6A02AC542D44",0,0,0,0,0,0,0,,1,0,0,0,0,40,40,"21-07-2016","LT Industrial ","21-07-2016","21-07-2016"
"22F57C67-2435-4CDA-BDEB-279588ED3736",1,0,0,0,0,0,0,"01-09-2016",0,0,0,0,0,0,0,"01-09-2016",0,"22-07-2016","22-07-2016"
"E1D71693-DC4D-4BDA-9554-2FB3EFA83880",0,0,0,0,0,0,0,,0,1,"N42-RAHT-0217",500,555,0,0,"18-10-2016","HT Industrial","22-07-2016","01-12-2016"
"4FFD092F-4F36-4FDD-B95A-3EFE8CA29290",0,0,0,0,0,0,0,"15-08-2016",1,1,"GK877",3,3,4,4,"15-08-2016","Non-Domestic","22-07-2016","22-07-2016"
"41533F0B-E0A4-46F0-8C71-9DA4A40C9EB3",1,0,0,0,0,30,33,"01-09-2016",1,0,0,0,0,1500,1665,"01-06-2017","HT Industrial","22-07-2016","22-07-2016"
"A649D23A-8659-4172-B285-CE10D9D4FD8D",1,0,0,0,0,95,95,"01-08-2016",1,0,0,0,0,95,95,"01-08-2016","Non-Domestic","22-07-2016","22-07-2016"
"64EE31DE-D513-49D8-B836-757F4B8B9165",1,0,0,0,0,99,110,"01-11-2016",1,0,0,0,0,4889,4400,"20-11-2019","Domestic","25-07-2016","25-07-2016"
"E161F422-5451-42CB-B3CC-CA488980CBAB",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"25-07-2016","25-07-2016"
"CA75DB83-8C9A-4008-B0CD-592DE0E92842",0,1,90080,23.75,19,0,0,,1,0,0,0,0,2000,1600,"01-10-2016","HT Industrial","25-07-2016","25-07-2016"
"07BAED52-BEFD-42E0-9D6F-1D030A280B2A",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"25-07-2016","20-02-2017"
"E8916C2D-780C-4ECC-9BA3-D3BCBADEA050",0,0,0,0,0,0,0,,1,0,0,0,0,750,750,"15-10-2016","HT Industrial","25-07-2016","25-07-2016"
"A2B20E31-828F-43ED-84F6-575BCAEDD84A",1,0,0,0,0,99,110,"01-11-2016",1,0,0,0,0,6700,6000,"20-11-2019","Domestic","25-07-2016","25-07-2016"
"3CFBA991-29E9-4853-8AC0-AFAF731ED99D",1,0,0,0,0,50,40,"06-11-2017",1,0,0,0,0,50,40,"06-11-2017","HT Industrial","25-07-2016","25-07-2016"
"DA452074-A363-427C-AD07-5D95BD29AB97",0,0,0,0,0,0,0,,1,1,5659450000,12,0,125,0,"01-01-2018","Non-Domestic","26-07-2016","01-08-2016"
"3883A399-5DF7-4C95-9A04-84EA6F498C40",1,1,"NO",50,40,50,40,"30-05-2017",1,1,"NA",0,0,50,40,"30-05-2017","HT Industrial","26-07-2016","26-07-2016"
"0DCE59A9-C0CF-4627-91C8-4EA8368028A9",1,0,0,0,0,5,5,"01-01-2017",1,0,0,0,0,15,15,"01-01-2018","Non-Domestic","26-07-2016","26-07-2016"
"133944D5-E53B-4A4D-B3CD-BF30D74BBA94",0,0,0,0,0,0,0,"10-08-2016",1,0,0,0,0,40,44,"10-08-2016","LT Industrial ","26-07-2016","26-07-2016"
"BE285D21-7E02-4ED4-829D-9C1D280C9564",0,0,0,0,0,0,0,,0,1,"K470",10,8,0,0,"01-01-1900","Non-Domestic","26-07-2016","09-08-2016"
"837ED1D2-D063-49FC-AE4F-8A2BC54D6498",0,0,0,0,0,0,0,,1,0,0,0,0,40,44,"10-08-2016","LT Industrial ","26-07-2016","26-07-2016"
"8B64B3E9-6C08-4A10-9504-238DEEA06947",0,0,0,0,0,0,0,,1,1,"F36CHHT0003",14500,15000,29200,30000,"31-07-2017","HT Industrial","28-07-2016","28-07-2016"
"6AD45B38-99F9-4944-8976-D3F3A44E1476",1,0,0,0,0,5,5,"01-09-2016",1,0,0,0,0,25,25,"01-02-2017","LT Industrial ","28-07-2016","28-07-2016"
"952236E4-B959-45EE-9E54-1BD85BA1D8F8",0,0,0,0,0,0,0,,1,1,"IDCS-0195",20,21,0,0,"31-07-2016","LT Industrial ","29-07-2016","29-07-2016"
"322037AE-8793-456C-884D-B9FB3F35F568",0,0,0,0,0,0,0,,0,1,"ICDS-0195",20,21,0,0,"01-01-1900","LT Industrial ","29-07-2016","29-07-2016"
"A86D32F0-53B8-4EAF-BF41-F1565B19D0AE",0,1,"KL11-1025-L",48.9,48.9,0,0,"31-08-2016",1,1,"KL11-1025-L",49,49,0,0,"31-08-2016","Non-Domestic","29-07-2016","29-07-2016"
"78473376-413B-49A7-852C-065262087EE3",0,0,0,0,0,0,0,,0,1,"S4 132",465,515,0,0,"01-01-1900","HT Industrial","29-07-2016","29-07-2016"
"E0B2A42A-8F09-464B-9110-7D04A115F6D3",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"01-01-1900",0,"30-07-2016","04-08-2016"
"1DD3A631-7EAC-434E-9562-7537A1660CA9",0,0,0,0,0,0,0,,1,0,0,0,0,10,10,"01-08-2016","Non-Domestic","30-07-2016","30-07-2016"
