62C366B0-A61D-4183-92A1-1E9E86F4CBAB,0,0,60,0,0,0,0,0,Muncipal Water Supply,Sewer,0,0,0,0,17-07-2016,19-11-2016,NULL,NULL
52C608AA-3ED5-4476-A4AE-9EF898078C97,10,20,10,1,1,1,1,1,Tubewell,Sewer,0,0,0,0,18-07-2016,18-07-2016,NULL,NULL
033450FE-3454-4801-BAE2-58AEA5B64E6B,0,0,2.5,0,0,0,0.1,0,Muncipal Water Supply,Sewer,0,0,0,0,19-07-2016,24-11-2016,NULL,NULL
5633C87B-6167-4D52-A35C-C160028FC01B,26,60,47,5,20.8,48,37.6,4,Muncipal Water Supply,Sewer,0,0,0,0,07-12-2016,22-12-2016,NULL,NULL
A4361D22-0B39-4AED-B675-A0A7A0544A30,5000,1500,1000,0,2000,1000,0,0,Tubewell,Sewer,0,0,0,0,18-07-2016,18-07-2016,NULL,NULL
ED1887E5-FCAE-4831-9820-8D9D8575893D,0,1,0,1,0,0,0,0,Muncipal Water Supply,Sewer,0,0,0,0,18-07-2016,18-07-2016,NULL,NULL
920DEC95-7EC1-41AB-9E19-A2E2F36A064D,0.2,0.5,1.5,0,0,0.5,1.5,0,Muncipal Water Supply,Sewer,0,0,0,0,18-07-2016,19-11-2016,NULL,NULL
D24441E2-05B7-4451-A74E-B06DBF2830F4,0.1,0.2,0.2,0.1,0.05,0.1,0.1,0.05,Tubewell,Sewer,0,0,0,0,18-07-2016,18-07-2016,NULL,NULL
D5FE1A79-511D-4870-B220-843F34127F5D,1,0,0,0,0.5,0,0,0,Tubewell,Sewer,0,0,0,0,30-07-2016,30-07-2016,NULL,NULL
D17D55EB-4B00-400F-BC2D-821BB61ABD63,0,0,0,0,0,0,0,0,Other,Other,0,0,0,0,18-07-2016,14-10-2016,NULL,NULL
7F7944E6-57CD-4240-9221-51DF063DCFBB,0,0,1,0,0,0,0.75,0,Muncipal Water Supply,Sewer,0,0,0,0,18-07-2016,23-11-2016,NULL,NULL
9EE8AF96-6F36-4407-8A33-5F3992BD844F,0,0,445,0,0,0,0,0,Tubewell,Sewer,0,0,0,0,25-07-2016,25-07-2016,NULL,NULL
6003F175-B812-4941-A089-635A4D5FF8C2,90,14,26,0,104,14,6,84,Other,Onto Land for Irrigation/plantation,0,0,0,0,19-07-2016,19-07-2016,HSIIDC,NULL
