11AC0A81-2438-4615-A27F-4420303632F8,1,DG Set,HSD,Cyclone Separator,2016-07-18,2016-07-18,9316E4CB-256E-45D6-B29C-94E72C6DE02D
12772D48-2002-43A4-93B3-58878A125D04,0,Not Applicable,NA,NA,2016-07-18,2016-07-18,003710B8-5A18-4F5A-8E39-2689BEED7CE9
51CCCD38-B1F9-4100-99C9-F0427C395392,200,Boiler,Electricity,Multi-Cyclone Separator,2016-07-18,2016-07-18,1F40AA27-7816-4352-90E9-79C7797A6529
31C5CB45-4CDA-4A1A-840D-1023BA4440BB,62.5,DG Set,HSD,Bag Filters,2016-07-18,2016-07-18,D33B5590-2978-49D2-9EB7-E8E609FB0814
C0EB21DF-821C-4E05-808C-F257DD7D43E7,0,Not Applicable,NA,NA,2016-07-18,2016-07-18,4A8972F7-8B12-4EEA-8BA2-4372610A1665
7CAB5FF1-5E38-427E-9E92-DC2545CC5E98,340,DG Set,HSD,Adequate Stack Height Only,2016-07-18,2016-07-18,FAD65089-10A9-4B6D-AD1F-F3AEF457ED92
6B071EF2-8189-42C1-B9E8-2ED23101BE9B,0,Not Applicable,NA,NA,2016-07-18,2016-07-18,C0883DB4-877B-4DF8-B809-24363D4C7967
9AF4E551-B8D8-466C-AC0E-8A5A829B7353,63,DG Set,HSD,Adequate Stack Height Only,2016-07-18,2016-07-18,FE026BD9-0DB6-42D6-B87E-7FC9D26FF03A
E2588253-D6FE-4654-BC76-C9E69389D581,100,TG Set,HSD,Adequate Stack Height Only,2016-07-18,2016-07-18,1562908A-7DDB-4D71-9316-6964326B82BB
A76AC586-84DE-4FBB-A492-5C8DF9AD5075,0,Not Applicable,NA,NA,2016-07-18,2016-07-18,065B2042-9FE4-4004-A9A8-C15183770955
DCA76B86-1BED-4A9C-96D0-A725ABF1C51F,20,Boiler,Electricity,Scrubber,2016-07-19,2016-07-19,6F0C4F27-4F59-4383-A96E-D65033387502
1F8E77DB-9404-43BF-B4BE-570FE9AF0660,100,DG Set,Other - DIESEL,Adequate Stack Height Only,2016-07-19,2016-07-19,A7426E80-443D-4EDB-A48C-C9973AB63003
4AA902A1-59EC-4B86-860E-0F2544468C01,500,DG Set,HSD,Adequate Stack Height Only,2016-07-19,2016-07-19,722B6E83-9CDA-4DA9-8F10-507751DEA1C2
5FD0FDEE-ABB2-46E9-B0FF-967B86DFDCCA,0,Not Applicable,NA,NA,2016-07-19,2016-07-19,C949EDD4-2055-4E48-916F-1A351A77C6F5
CE3F77DC-D9C8-4DC1-8405-6E742DFED79F,0,Not Applicable,NA,NA,2016-07-20,2016-07-20,1120ED98-ABE0-4680-9100-EC1A8B2FC6B1
50924D37-0F5E-48F9-81E9-888856F0E00F,2,DG Set,Electricity,Multi-Cyclone Separator,2016-07-20,2016-07-20,90F930F4-03AC-4824-8459-A9196B799F1A
C277179D-4D62-492F-B97D-DFE4B3C0BE02,82.5,DG Set,HSD,Cyclone Separator,2016-07-20,2016-07-20,40887F0A-82EA-4470-BE94-316210EE2DCB
D3045C0F-1D32-415B-B6C9-95FAE4A9DB9A,45,DG Set,Other - DIESEL,Cyclone Separator,2016-07-20,2016-07-20,809D2273-318D-47E6-99DC-15DD1C8B3F13
977C02A8-C057-4B68-95E9-3919047F8311,0,Not Applicable,NA,NA,2016-07-20,2016-07-20,81E3DF26-3497-4FFE-A403-88401FE6AB7B
25F41A63-A219-45F5-94DD-43BAB4A01B6E,7.3,DG Set,Other - BIOMASS WASTE,Scrubber,2016-07-21,2016-07-21,86E3D922-A513-41CE-889D-77CEA73C0D41
535DC49B-BACA-4308-AE2E-3287917C2DC9,50,DG Set,Other - DIESEL,Adequate Stack Height Only,2016-07-21,2016-07-21,8BACD288-7818-4A21-95CC-98BF72F0F775
