EB452C0C-BB17-44CC-B658-3B19F6077644,8B30093C-D23A-46EA-8482-0E63B98CE500,Phase-I,Khal,0,01-06-2015,02-08-2016,02-08-2016
7343556B-6035-4C90-A20D-AA7D160BEF6F,59EA643C-2D21-47E7-82EE-708E471F51AD,1st,Tech. Education,0.5,01-12-2016,02-08-2016,02-08-2016
2E37EF34-F3FF-480D-B27A-6CCA9BD0D472,BA36E759-03D0-41B7-8140-90FFCE4BB4B5,Third Phase,Auto Parts,0,15-12-2017,03-08-2016,03-08-2016
28BDFF6A-4DA8-438B-82AF-02CCD082381E,19CF7010-8608-4991-AD17-3FACB693F9B5,1,Food Processing,0.2,25-07-2016,03-08-2016,03-08-2016
F26C639F-1344-4148-96D7-C6CAD2BD0993,F9481913-863F-44BF-9798-430C41852AA8,1,"Bread, Rusks Etc.",11.5,18-05-2017,21-01-2017,21-01-2017
F12CE8EF-8F92-409E-A616-A9BF87F29EFF,F9481913-863F-44BF-9798-430C41852AA8,2,Bakery Products,7.4,09-08-2017,21-01-2017,21-01-2017
38AB9F17-8A08-479B-A930-56A3E062E52A,CD94A81B-93AA-4FE3-9262-6DDEB19A8138,Final Phase,Food Processing,0,15-10-2016,27-09-2016,27-09-2016
ECA636B3-362A-4641-BEAD-E29A6D8394E1,36A750D6-2AB7-4B00-A640-A12742934E32,TEN,TEN,0,02-08-2016,06-08-2016,06-08-2016
24D257DC-3E44-4064-8D98-64112F2CDFF5,84DE474E-210C-4CCD-BFA1-D999585845C6,Twenty,Plastic,0,01-01-2017,08-08-2016,08-08-2016
40363831-E34F-41D4-98FF-4FB5DE1CC526,834A0E23-C332-434E-98FC-3A0DF1332E4A,1st,CLU,0.05,18-10-2016,17-09-2016,17-09-2016
78B96E6B-0ECA-4EBF-95ED-920FA9026FD9,834A0E23-C332-434E-98FC-3A0DF1332E4A,2nd,EIA Study and Building Plan Approval,0.1,18-03-2017,17-09-2016,17-09-2016
B0E8C1B2-CB6B-4B6D-9EA7-10C84CFAFA37,834A0E23-C332-434E-98FC-3A0DF1332E4A,3rd,Construction of Building,0.7,18-05-2017,17-09-2016,17-09-2016
F374CAA4-03E9-47BE-ACA1-BF7F55A282A8,834A0E23-C332-434E-98FC-3A0DF1332E4A,4th,"Installation, Testing and Commissioning of Machinery",1.86,18-06-2017,17-09-2016,17-09-2016
BE0EA750-7313-4810-9611-FB38C603A86C,4B906EC8-C0D4-4AA5-821F-74D492A62146,N/A,Manufacturing,0,01-07-2016,29-08-2016,29-08-2016
B6C429E6-F33A-44C2-A2A3-E9B367642A99,38B0F3BD-01FE-4513-9433-44A21D8B1CF7,1,warehousing,22.43,31-03-2017,12-08-2016,12-08-2016
96FC4E2D-D3B7-4B2D-AB79-2AFFD89C165A,8BAD38D8-6ECE-49C1-9F87-868C0032B89B,I,Industrial,1,01-06-2017,19-08-2016,19-08-2016
BA19CAEF-73DE-4271-9883-A114599A54CE,FFE7E8F1-894C-4903-96DA-EDD3156B327B,MANUFACTURING,STEEL PIPE AND TUBES MANUFACTURING,79,01-08-2016,26-08-2016,26-08-2016
9742744F-0B87-4BDB-9F32-9B95066ADFCF,D3D99F80-3FC8-4EDD-9743-A51E280D0228,Land Developement,civil,0.2,15-01-2017,09-09-2016,09-09-2016
0CC01AFE-8C72-4A13-B360-9EEDCF72DBB3,D3D99F80-3FC8-4EDD-9743-A51E280D0228,Civil construction,Civil,1.2,15-04-2017,09-09-2016,09-09-2016
AA6BF797-E461-48BF-A76A-4CB530A4EBB1,A0763BC9-2026-4D58-A2FE-82D4E9156DD1,MANUFACTURING,STEEL PIPE AND TUBE,0.8,01-08-2016,26-08-2016,26-08-2016
6E6993F6-523D-4420-8F52-5E5ADE80D48D,B50182F7-CCDF-4465-9AA0-098C567FE580,SERVICE SECTOR,SCHOOL,0.55,01-09-2016,26-08-2016,26-08-2016
5B4FA87F-A0DC-4F51-8DCC-34ECE48A5491,C51DED7B-7CDB-4956-80F6-4D614690ACC9,CONSTRUCTION OF BUILDING,PASTA AND FOOD PROCESSING,30,25-09-2016,10-09-2016,10-09-2016
6BD0C77C-5356-4F0A-B7BF-DB44A303A8DF,C51DED7B-7CDB-4956-80F6-4D614690ACC9,APPROVAL OF DRAWINGS,PASTA AND FOOD PROCESSING,0.4,25-09-2016,10-09-2016,10-09-2016
4B2D794B-2249-45A5-9306-91BD7AC3B213,C51DED7B-7CDB-4956-80F6-4D614690ACC9,PLANT AND MACHINERY INSTALLATION,PASTA AND FOOD PROCESSING,89.6,10-12-2017,10-09-2016,10-09-2016
B6EBCF89-EAC3-4DBC-B8B7-D33A1511CF89,82C9C18C-E1FA-4A83-9956-9759919C3E11,Construction,Building material,0.08,30-04-2015,29-08-2016,29-08-2016
1931AD13-9298-4423-AE7D-3039E1E74D4A,80C03581-D5C9-410D-B4B4-D1951ED7CE75,First,Power Generation,0,01-01-2017,30-08-2016,30-08-2016
AFDF540D-4D7E-4323-8119-E693986C85B8,03503DA3-56E5-445D-950B-CC56ED5FD22B,First,"Milk, Ghee, Cream",15,30-03-2018,03-09-2016,03-09-2016
DC7008B9-121F-4FC1-B395-1825D59CCD82,03503DA3-56E5-445D-950B-CC56ED5FD22B,Second,"Curd, Lassi etc",5.4,01-12-2018,03-09-2016,03-09-2016
40362D85-68DF-4084-8105-10C916B7F33E,2DB71826-2756-453E-9C97-970EF528CB09,IV,Readyment Garments,0,01-01-2014,06-09-2016,06-09-2016
A641AECC-FE8A-4181-A3A0-B4760B6D835A,5CD86B4F-650E-417A-BD6F-CE643D786F38,VI,Readyment Garments,0,01-07-2015,06-09-2016,06-09-2016
9A2AE96A-D87A-4CD1-965B-9ABD5D18C020,33AE3426-AAF7-402D-9BDA-77469D8DF13B,RUBBER,RUBBER POWDER,0,01-01-2017,06-09-2016,06-09-2016
34803E94-B694-4FFE-94ED-DA4E7722B878,B6A52FBA-36A4-4B8F-9CD1-518149120D41,VILL BEGUMPUR KHATOLA,AUTO COMPONENTS,0,01-02-2018,08-09-2016,08-09-2016
794A20F0-CD1E-44E7-A5DA-09BCC8BDB9C4,977FC35E-E66A-4B15-88C7-908520D0E736,Production,Orange,0,15-06-2017,13-09-2016,13-09-2016
301C7125-866E-4C06-A653-4A56647F5C89,240CB130-3A7D-4AED-B94E-09041D67433B,II,Textile,5.53,24-09-2016,19-09-2016,19-09-2016
7DF9F85C-BD13-4FCE-B975-D77C734747F4,B221C9C2-E3C4-4C90-A538-19F8F5093B56,Final Phase,Cables and Insulators,0,01-04-2017,27-09-2016,27-09-2016
39190EBF-8D8C-4C15-85E6-055012705EAE,10FC5287-298E-4704-AEA9-D0CB52CAEE6C,1,"Rice, Agro Processing",5.68,01-11-2016,26-09-2016,26-09-2016
