08EEED25-F136-47FE-B446-37204AF2FA38,0,0,0,0,Export Oriented,,New Project (Existing Site),Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles,Large - more than 10 crores,13-07-2016,13-07-2016,0
CBB99067-6D14-49FA-97CD-F2B9DBFB3530,0,0,1,0,None of these,United Arab Emirates,New Project (New Site),Renewable Energy & Solar Parks,Large - more than 10 crores,13-07-2016,18-07-2016,0
2F8F31CE-20F6-4393-80E6-AEED15585035,Manufacturing,0,0,0,None of these,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,13-07-2016,13-07-2016,Filter Paper
82BD9B03-4890-4E21-952F-A1F27F49FD4F,0,0,0,0,None of these,,Expansion Project,Other Industries,Large - more than 10 crores,14-07-2016,14-07-2016,Healthcare
003710B8-5A18-4F5A-8E39-2689BEED7CE9,0,2930,0,0,Highly Technical,,New Project (New Site),"Auto, Auto Components and Light Engineering",Large - more than 10 crores,15-07-2016,18-07-2016,0
74D0023A-C0FE-44FB-A99D-C833538E2EC1,Solar Power generation,351000000000,0,0,None of these,,New Project (New Site),Renewable Energy & Solar Parks,Large - more than 10 crores,16-07-2016,16-07-2016,0
AA3D8C8E-8452-466A-93E1-8A5E4B33ADF3,0,0,0,0,Highly Technical,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,17-07-2016,19-11-2016,HVAC
9316E4CB-256E-45D6-B29C-94E72C6DE02D," Manufacturing unit, Extrusion plant, ",0,0,0,Highly Technical,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,27-09-2016," Manufacturing unit, Extrusion plant, "
1F40AA27-7816-4352-90E9-79C7797A6529,0,0,0,0,None of these,,New Project (New Site),"Agro-based, Food Processing and Allied Industry",Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,18-07-2016,0
D33B5590-2978-49D2-9EB7-E8E609FB0814,0,0,0,0,Highly Technical,,Expansion Project,"Auto, Auto Components and Light Engineering",Micro - upto 25 lakhs,18-07-2016,18-07-2016,0
4A8972F7-8B12-4EEA-8BA2-4372610A1665,Manufacturing,17,0,0,None of these,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,18-07-2016,0
FAD65089-10A9-4B6D-AD1F-F3AEF457ED92,0,0,0,0,Highly Technical,,New Project (New Site),"Auto, Auto Components and Light Engineering",Micro - upto 25 lakhs,18-07-2016,19-11-2016,0
5B55C896-9856-4F7C-A5E5-A7E8331148E8,0,0,0,0,None of these,,New Project (Existing Site),Electronics & IT/ITES,Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,20-07-2016,MANUFACTURER OF ELECTRICAL PANELS
C0883DB4-877B-4DF8-B809-24363D4C7967,0,0,1,1,None of these,,New Project (Existing Site),Other Industries,Large - more than 10 crores,18-07-2016,14-10-2016,real estate contruction
FE026BD9-0DB6-42D6-B87E-7FC9D26FF03A,0,0,0,0,None of these,,Expansion Project,"Auto, Auto Components and Light Engineering",Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,23-11-2016,0
1562908A-7DDB-4D71-9316-6964326B82BB,HEALTH AND SPORTS CLUB,0,0,0,None of these,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,18-07-2016,SERVICE SECTOR
065B2042-9FE4-4004-A9A8-C15183770955,0,0,0,0,Highly Technical,,New Project (New Site),Other Industries,Small - more than 25 lakhs and less  than or upto 5 crores,18-07-2016,18-07-2016,0
6F0C4F27-4F59-4383-A96E-D65033387502,Research and Development cum Application Center,72100,1,0,Export Oriented,Netherlands,New Project (New Site),Other Industries,Large - more than 10 crores,19-07-2016,09-09-2016,Research and Development
A7426E80-443D-4EDB-A48C-C9973AB63003,0,0,0,0,Highly Technical,,Expansion Project,Other Industries,Medium - more than 5 crores and less than 10 crores,19-07-2016,24-11-2016,Electrical Industry
24D84CC1-4F4A-4598-8862-48AB2BC7E0BD,Manufacturing,0,0,0,None of these,,New Project (New Site),"Auto, Auto Components and Light Engineering",Large - more than 10 crores,19-07-2016,19-07-2016,0
722B6E83-9CDA-4DA9-8F10-507751DEA1C2,Manufacturing,0,0,0,None of these,,New Project (New Site),"Auto, Auto Components and Light Engineering",Large - more than 10 crores,19-07-2016,19-07-2016,0
C949EDD4-2055-4E48-916F-1A351A77C6F5,0,0,1,0,None of these,,New Project (New Site),Other Industries,Large - more than 10 crores,19-07-2016,14-10-2016,Real Estate Developer
81E3DF26-3497-4FFE-A403-88401FE6AB7B,Dall Mill,0,0,0,None of these,,New Project (New Site),"Agro-based, Food Processing and Allied Industry",Medium - more than 5 crores and less than 10 crores,19-07-2016,23-11-2016,0
809D2273-318D-47E6-99DC-15DD1C8B3F13,0,0,0,0,None of these,,Expansion Project,Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles,Medium - more than 5 crores and less than 10 crores,19-07-2016,19-07-2016,0
1120ED98-ABE0-4680-9100-EC1A8B2FC6B1,Opening a MBA Institute,0,0,0,None of these,,New Project (New Site),Other Industries,Large - more than 10 crores,20-07-2016,22-07-2016,Education
