206FF383-4745-46E5-AE13-92E912C8DA74,FAN SHANK,30000,Numbers / day,19-07-2016,19-07-2016,A7426E80-443D-4EDB-A48C-C9973AB63003
CE151D1A-C57B-4701-B3D9-9E2EDB0871F3,Drawn Wire,24.5,TPD (Tons / day),19-07-2016,19-07-2016,24D84CC1-4F4A-4598-8862-48AB2BC7E0BD
EC900FA5-A7B7-48B9-8DA6-0569F606835E,Drawn Wire,24.5,TPD (Tons / day),19-07-2016,19-07-2016,722B6E83-9CDA-4DA9-8F10-507751DEA1C2
277B004D-B71F-48F7-B8D7-DCFBD918EFDB,Processed Pulses,24,TPD (Tons / day),20-07-2016,20-07-2016,81E3DF26-3497-4FFE-A403-88401FE6AB7B
BB61174E-C641-4117-AEB4-14C0686A6FC3,Other biproducts,6,TPD (Tons / day),20-07-2016,20-07-2016,81E3DF26-3497-4FFE-A403-88401FE6AB7B
66746557-F532-4896-B936-4F33CD3EE41F,High Value Yarn,0.8,TPD (Tons / day),20-07-2016,20-07-2016,809D2273-318D-47E6-99DC-15DD1C8B3F13
29E7D225-43F4-40C1-9FE8-72A440720BE8,Carton Packing Machine,10,Numbers / day,26-09-2016,26-09-2016,90F930F4-03AC-4824-8459-A9196B799F1A
A28666C1-9BD1-46AA-B2F2-FC9E53B4B65F,Pouch Packing Machine,10,Numbers / day,26-09-2016,26-09-2016,90F930F4-03AC-4824-8459-A9196B799F1A
E096E59E-1681-4B71-AA5B-20E76F22E9DD,PU Rubber Roller,30,Numbers / day,20-07-2016,20-07-2016,40887F0A-82EA-4470-BE94-316210EE2DCB
79FC69D6-7AB2-457D-B97C-EA313D22F778,POWER,48000,Numbers / day,21-07-2016,21-07-2016,86E3D922-A513-41CE-889D-77CEA73C0D41
2A67B7BE-7BF7-4132-B60E-3324393C2A65,SODIUM SILICATE,12,TPD (Tons / day),23-07-2016,23-07-2016,3B5D2E2D-6FB4-47F1-9022-21611C51B2FA
F0952010-B4F1-4197-A3B2-4E66549E617F,"BREAD, BAKERY, COOKIES AND FOODS",3,TPD (Tons / day),05-10-2016,05-10-2016,786AB534-9953-4E73-A8A8-8A2E9449BA17
35114857-2D29-4AAC-A0EB-986F42E7843C,Servicing,20,Numbers / day,22-07-2016,22-07-2016,E81E797F-4B24-4C5F-A5A9-9CDF4FE108A4
