491F3F7D-7C7E-43EA-B96A-0F3FD62F80B0,1,1.45,0.5,0.05,2.95,0,2016-04-01,2016-10-01,,Not Applicable,25,2016-07-18,2016-07-18
07F9094E-E9B7-46FD-87ED-AEC4D7AEF702,0.8,0.65,1.5,0.55,2.95,0,2016-09-01,2017-07-01,,Not Applicable,24,2016-07-18,2016-07-18
9EB4B279-3731-43E2-9BB6-2E2636C88749,0.28,0.15,0.16,0.11,0.59,0,2019-04-01,2020-04-01,,Not Applicable,180,2016-07-19,2016-11-24
0C40D187-B937-4365-B053-576245F2C7F8,3.82,4.26,3.98,2.9,12.06,0,2016-07-01,2017-04-01,,Not Applicable,41,2016-07-19,2016-07-19
95C2034B-5BA9-452A-BB72-A848AAD399C9,3.82,4.26,3.98,2.9,12.06,0,2016-07-01,2017-04-01,,Not Applicable,41,2016-07-19,2016-07-19
0506B8D8-EBA7-475A-B056-22D3B062BD7D,195,255,0,0,450,0,2017-10-04,2017-10-04,,Not Applicable,300,2016-07-19,2016-07-19
A0EA331F-55C4-4E1C-8B56-0B0A6B209893,1,2,7.5,0,10.5,0,2017-01-01,2018-04-01,,Not Applicable,60,2016-07-19,2016-11-23
7BD36F77-B60E-4DF6-BB35-AB3C40809BFD,0.66,1.08,0.3,0.1,2.04,0,2016-12-01,2018-12-01,,Not Applicable,20,2016-07-19,2016-07-19
B324C963-199F-4A45-A1B0-74C90BE40F18,20.16,30,2,7,52.16,0,2016-09-01,2017-08-01,,Not Applicable,40,2016-07-20,2016-07-22
818ACEF4-F513-47DB-8140-7ADFFF10A64E,1700000,1100000,900000,250000,3700000,0,2017-01-01,2017-02-01,,Not Applicable,37,2016-07-20,2016-11-17
F129FA51-47AA-45E1-97F4-0B9B22C64620,1.25,0.5,0.3,0.05,2.05,0,2016-09-01,2017-04-01,,Not Applicable,16,2016-07-20,2016-07-20
837BA739-DF9E-4B12-80B0-4DCABAFF64AA,0.26,0.16,0.08,0.05,0.5,0,2013-11-01,2015-07-02,,Not Applicable,60,2016-07-20,2016-07-26
3B2472AA-F80E-48E1-8918-EFE637AE549E,34.05,71,0,0,105.05,0,2016-11-01,2016-11-21,,Not Applicable,1000,2016-07-20,2016-07-25
5F49D70F-5326-4F4A-94C8-79A7A129D826,0,0,0.59,0.01,0.59,0,2016-04-10,2016-07-07,,Not Applicable,7,2016-07-21,2016-07-21
9FE2223F-5781-49E7-B311-A83DDC74730C,0.19,2.9,15,4.73,18.09,0,2016-10-01,2017-06-01,,Not Applicable,60,2016-07-21,2016-07-21
1ED389FC-135B-4EE1-BCAD-18220BEFAA6A,0,0,33.2,0,33.2,0,2016-10-01,2018-03-31,,Not Applicable,100,2016-07-22,2016-07-22
