527E2974-07BC-4DAA-A2A5-BEE993312EEB,Water,1,Non-Hazardous,Other,22-07-2016,22-07-2016,E81E797F-4B24-4C5F-A5A9-9CDF4FE108A4
8F4581C1-2A9B-4DB1-986C-8CD5DAB19789,NON,0,Non-Hazardous,Other,25-07-2016,25-07-2016,5A28ED40-4CDA-477E-85A5-14C730902863
7C395151-C27D-4FF1-A612-AA139A8C02E8,Not applicable,0,Non-Hazardous,Other,25-07-2016,25-07-2016,37B4ECCD-EEE6-467E-987E-2DC5B3E1EE28
5A223FB7-D2BB-4BA8-AAA5-6AE5C95A6ACE,METAL AND CARDBOARD,1,Non-Hazardous,Other,26-07-2016,26-07-2016,9A169728-744B-4B70-B553-CF02F4F44019
AAE58C13-9D63-4940-AFF7-F5047C2CB5A7,STEEL,1,Non-Hazardous,Other,26-07-2016,26-07-2016,9A169728-744B-4B70-B553-CF02F4F44019
F5DFAB4E-48E0-478B-940F-98300F4AD741,Fly Ash,1,Non-Hazardous,Sold to Registered Recycler,26-07-2016,26-07-2016,8F89E6EF-9FAD-4B71-882F-C08C0E001149
41937044-7EBD-408E-A6E4-57DDB03C8D22,Waste Matel,1,Non-Hazardous,Other,26-07-2016,26-07-2016,B0739596-829A-4D53-B5C5-6B0664A242C3
112FEDED-3E31-411B-9C87-AF62A626C54C,Not applicable,0,Non-Hazardous,Other,26-07-2016,26-07-2016,311001DE-2AFD-4343-A8EA-6EA5FF6747D1
726A8A59-10CF-49CF-811D-696D6BD83205,Black Oil,0.1,Non-Hazardous,Sold to Registered Recycler,31-07-2016,31-07-2016,5B0202E4-27C0-4652-AF6B-5F65EC7B87A2
4C2D0D44-1D1E-466F-9878-917C8D3B8357,MOULDING MACHINERY,0.01,Non-Hazardous,Sold to Registered Recycler,01-08-2016,01-08-2016,E392213C-FC1F-4535-BEF4-C20F6A821E18
A164E30B-C713-41C1-A6EC-DA793AA8923A,production ,0.1,Non-Hazardous,Sold to Registered Recycler,02-08-2016,02-08-2016,35E9151E-B9AD-49B4-B8A0-9787DD191CD3
EBB3D766-69DA-4D0E-BB9E-1787FB930993,none,0,Non-Hazardous,Other,02-08-2016,02-08-2016,F93BB206-9D2C-4F60-ABBD-48224CF31D5A
1FB2D57F-B6D7-4778-AD42-90F8E3D479CD,None,0,Non-Hazardous,Other,02-08-2016,02-08-2016,8B30093C-D23A-46EA-8482-0E63B98CE500
0B6B6584-8E37-4DE6-A01C-558603A02479,Tubewell,0,Non-Hazardous,Other,02-08-2016,02-08-2016,59EA643C-2D21-47E7-82EE-708E471F51AD
C109C65A-A288-4B05-8FD1-393DFD366351,Office Waste,1,Non-Hazardous,Sold to Registered Recycler,03-08-2016,03-08-2016,4BE21AFA-D32B-42A1-9470-4D8FE79399F3
FA91414A-F42E-4F07-8B41-B8410C01ED45,NOT APPLICABLE,0,Non-Hazardous,Other,14-08-2016,14-08-2016,A3CAA5DC-4E74-419D-B7C4-05652FC2A4C9
1A650389-9B9C-49DB-9CF7-BE155743791C,Iron Scrap,0.5,Non-Hazardous,Other,03-08-2016,03-08-2016,BA36E759-03D0-41B7-8140-90FFCE4BB4B5
9829E3B2-8525-446E-8D51-6C12F81C01BE,Tubewell,1,Non-Hazardous,Other,03-08-2016,03-08-2016,19CF7010-8608-4991-AD17-3FACB693F9B5
7618974D-CA6F-4BF3-9073-5CB7E583AEB3,ten,0,Non-Hazardous,Other,04-08-2016,04-08-2016,3499B902-7FE7-415B-A5E2-435C8DBDA538
238F0D0E-B509-4565-BFDD-A959C69952A4,NOT APPLICABLE,0,Non-Hazardous,Other,06-08-2016,06-08-2016,4253DA0D-C311-4481-830D-75BB85C67A8F
E934C00E-74BC-4D48-91F9-F2C7E2232EC0,D.G. Set,0.01,Hazardous,Sold to Registered Recycler,21-01-2017,21-01-2017,F9481913-863F-44BF-9798-430C41852AA8
A786E6D6-A686-460E-8053-C3689F2B18A7,CUTTING WASTE OF WOVEN FABRIC,0.01,Non-Hazardous,Sold to Registered Recycler,06-08-2016,06-08-2016,0B886542-0F56-4EC4-98C4-DF9AEBDACA11
BF264CA2-5D83-48FB-AB13-D2463E001294,N.A,0,Non-Hazardous,Other,27-09-2016,27-09-2016,CD94A81B-93AA-4FE3-9262-6DDEB19A8138
599A8F12-2D35-4B05-9CE6-2006603A3AF2,Waste Oil,1,Non-Hazardous,Other,08-08-2016,08-08-2016,223E620F-FEF6-4127-98F0-05120ABC3C95
90DAB3D2-0E64-4095-BAC2-CDAFC8E2AE3A,Burada (Wood),0.2,Non-Hazardous,Other,09-08-2016,09-08-2016,0CB7237D-B0AD-4CB8-B68A-EC74286D210B
F2B0F6DB-37D6-4487-9D68-EE05B69C1ABC,Pallets,0.25,Non-Hazardous,Sold to Registered Recycler,10-08-2016,10-08-2016,4FE0F6A5-E87F-4E10-A0CB-F7659CCE30B8
1B3E6E7D-9C54-4F7E-B301-41ECA8C68A2C,"Filter bags, Cartons and other domestic waste",0.02,Hazardous,Other,17-09-2016,17-09-2016,834A0E23-C332-434E-98FC-3A0DF1332E4A
3BB2D4A2-7ACA-4DCA-8FA3-9315FCBEEE4E,"Used Carbon Black, hyflo and Process Waste",0.05,Hazardous,On To Land for filling,17-09-2016,17-09-2016,834A0E23-C332-434E-98FC-3A0DF1332E4A
F89423BA-4561-4876-8D91-A7BABBB0D906,Manufacturing ,0,Non-Hazardous,Other,29-08-2016,29-08-2016,4B906EC8-C0D4-4AA5-821F-74D492A62146
2B8DB3B3-5F3F-4E97-9B0B-029DC0463861,not applicable,1,Non-Hazardous,On To Land for filling,31-08-2016,31-08-2016,8BAD38D8-6ECE-49C1-9F87-868C0032B89B
C52DDFB1-B0A7-4BF8-AA85-CAE0B5C7975C,WASHING,0.1,Non-Hazardous,Other,01-02-2017,01-02-2017,31D38119-7E35-4952-A6C1-2CAB7F9566A6
FD6AA8C0-97EC-4960-90E6-75D51521C968,Polish Process,0.1,Non-Hazardous,Sold to Registered Recycler,26-08-2016,26-08-2016,A2811D63-46C3-493B-8961-0B6E6E091626
7B7D0BF2-6E97-496E-905E-32AF42834591,Fruit and Vegetable Processing,0.3,Non-Hazardous,Other,25-08-2016,25-08-2016,D3E4195A-80BA-4A2F-B9EC-6DBA4BC17FE6
34986230-2BFB-4FE2-84A3-DAF6B2817D86,MANUFACTURING,10,Non-Hazardous,Other,26-08-2016,26-08-2016,FFE7E8F1-894C-4903-96DA-EDD3156B327B
A86A4D59-715F-46E8-826E-72F6D0EC1A3B,Processing Waste Paper,0.3,Non-Hazardous,Other,09-09-2016,09-09-2016,D3D99F80-3FC8-4EDD-9743-A51E280D0228
4E29132F-D6E9-4E22-B3A6-38F86C6888DF,ETP ,1000,Non-Hazardous,Other,26-08-2016,26-08-2016,CB954FA1-209F-4667-AAA8-C163EE01580B
724BCEF2-3FBD-458B-9B33-C13B4C08EA0F,MANUFACTURING,0.2,Non-Hazardous,Sold to Registered Recycler,26-08-2016,26-08-2016,A0763BC9-2026-4D58-A2FE-82D4E9156DD1
B1B858BF-CCE4-4EB7-979C-F02D0891FF1F,SCHOOL CONSTRUCTION,0,Non-Hazardous,Other,26-08-2016,26-08-2016,B50182F7-CCDF-4465-9AA0-098C567FE580
2916ED67-9644-456F-85B8-4BEC5686B62B,Not applicable,0,Non-Hazardous,Other,29-08-2016,29-08-2016,82C9C18C-E1FA-4A83-9956-9759919C3E11
96F5217C-AC1C-4542-8706-C01471940765,RUBBER GRINDING WASTE,0.05,Non-Hazardous,Sold to Registered Recycler,30-08-2016,30-08-2016,C408476F-02EE-414D-89F6-07061D9FA201
3E65F207-90A3-4E1E-AB4A-DE3FB0F85697,other,0,Non-Hazardous,Other,30-08-2016,30-08-2016,80C03581-D5C9-410D-B4B4-D1951ED7CE75
